clouds_cat,precip_cat,slp_cat,solar_rad_cat,t_dni_cat,t_ghi_cat,wind_dir_cat,wind_gust_spd_cat
alto,alto,medio,bajo,alto,alto,sur,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,bajo,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,alto
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,medio,medio,medio,alto,alto,norte,medio
medio,medio,medio,medio,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,medio,alto,alto,este,alto
alto,medio,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,bajo,medio,medio,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,norte,medio
medio,alto,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,medio,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,norte,medio
medio,medio,medio,medio,alto,alto,este,alto
medio,alto,medio,bajo,alto,alto,sur,alto
medio,medio,medio,bajo,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,norte,medio
medio,bajo,medio,bajo,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
alto,medio,medio,bajo,alto,alto,norte,medio
alto,medio,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,norte,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,norte,medio
medio,medio,medio,bajo,alto,alto,este,medio
bajo,medio,medio,medio,alto,alto,este,medio
bajo,medio,medio,medio,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,norte,medio
medio,medio,medio,bajo,alto,alto,norte,medio
medio,medio,medio,bajo,alto,alto,este,medio
bajo,alto,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,bajo,medio,medio,alto,alto,este,medio
bajo,medio,medio,medio,alto,alto,norte,medio
bajo,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
bajo,medio,medio,medio,alto,alto,norte,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,bajo,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,norte,medio
medio,bajo,medio,bajo,alto,alto,norte,medio
medio,bajo,medio,medio,alto,alto,este,medio
bajo,bajo,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,norte,medio
medio,alto,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,alto
medio,medio,medio,bajo,alto,alto,sur,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
bajo,bajo,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,norte,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,alto,medio,medio,alto,alto,este,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,norte,medio
bajo,bajo,medio,medio,alto,alto,este,medio
bajo,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,alto
medio,medio,medio,bajo,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
medio,medio,medio,bajo,alto,alto,este,medio
bajo,bajo,medio,medio,alto,alto,este,medio
medio,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,norte,medio
alto,alto,medio,bajo,alto,alto,este,medio
medio,medio,medio,medio,alto,alto,norte,medio
